sample_id,610_nm,680_nm,730_nm,760_nm,810_nm,860_nm,label
1,26.18,5.10,5.21,3.43,2.67,1.21,Fresh
2,9.11,2.04,1.74,1.71,0.89,0.00,Fresh
3,26.18,5.10,5.21,3.43,2.67,1.21,Fresh
4,29.59,5.10,6.08,3.43,2.67,1.21,Fresh
5,36.42,7.14,6.08,3.43,2.67,1.21,Fresh
6,2.28,2.04,0.87,0.00,0.89,0.00,Fresh
7,2.28,1.02,0.87,0.00,0.00,0.00,Fresh
8,35.28,8.16,4.35,2.57,2.67,1.21,Fresh
9,31.87,8.16,3.48,2.57,2.67,1.21,Fresh
10,35.28,8.16,4.35,2.57,2.67,1.21,Fresh
11,40.98,10.21,5.21,3.43,3.56,1.21,Fresh
12,40.98,10.21,4.35,3.43,2.67,1.21,Fresh
13,31.87,6.12,3.48,2.57,2.67,1.21,Fresh
14,11.38,3.06,1.74,0.86,0.89,0.00,Fresh
15,4.55,0.00,0.87,0.86,0.00,0.00,Fresh
16,13.66,4.08,1.74,1.71,0.89,1.21,Fresh
17,29.59,8.16,3.48,2.57,1.78,1.21,Fresh
18,23.90,7.14,3.48,1.71,1.78,1.21,Fresh
19,28.46,10.21,3.48,2.57,2.67,1.21,Fresh
20,29.59,10.21,3.48,2.57,2.67,1.21,Fresh
21,4.55,1.02,0.87,0.86,0.00,0.00,Fresh
22,18.21,4.08,2.61,1.71,0.89,1.21,Fresh
23,37.56,9.19,4.35,2.57,2.67,1.21,Fresh
24,18.21,3.06,2.61,1.71,1.78,1.21,Fresh
25,19.35,3.06,2.61,1.71,1.78,1.21,Fresh
26,19.35,2.04,3.48,1.71,1.78,0.00,Fresh
27,20.49,2.04,4.35,2.57,0.89,0.00,Fresh
28,7.97,3.06,1.74,0.86,0.89,0.00,Fresh
29,13.66,2.04,2.61,1.71,0.89,0.00,Fresh
30,7.97,1.02,1.74,0.86,0.00,0.00,Fresh
31,7.97,1.02,1.74,0.86,0.00,0.00,Fresh
32,3.41,1.02,0.87,0.86,0.00,0.00,Fresh
33,3.41,1.02,0.87,0.00,0.00,0.00,Fresh
34,14.80,1.02,1.74,0.86,0.00,0.00,Fresh
35,17.07,3.06,2.61,1.71,0.89,0.00,Fresh
36,27.32,5.10,3.48,2.57,1.78,1.21,Fresh
37,23.90,6.12,2.61,1.71,1.78,1.21,Fresh
38,21.63,8.16,2.61,1.71,1.78,1.21,Fresh
39,26.18,5.10,4.35,2.57,1.78,1.21,Fresh
40,14.80,3.06,3.48,1.71,0.89,1.21,Fresh
41,29.59,9.19,3.48,2.57,2.67,1.21,Fresh
42,26.18,8.16,3.48,2.57,1.78,1.21,Fresh
43,33.01,7.14,4.35,2.57,2.67,1.21,Fresh
44,56.91,12.25,5.21,3.43,3.56,1.21,Fresh
45,36.42,8.16,4.35,2.57,2.67,1.21,Fresh
46,35.28,10.21,3.48,2.57,2.67,1.21,Fresh
47,53.50,11.23,8.69,5.99,4.45,2.41,Fresh
48,20.49,5.10,4.35,2.57,1.78,1.21,Fresh
49,33.01,8.16,3.48,2.57,2.67,1.21,Fresh
50,40.98,10.21,4.35,2.57,3.56,1.21,Fresh
51,12.52,2.04,2.61,1.71,0.89,0.00,Fresh
52,30.73,8.16,3.48,2.57,2.67,1.21,Fresh
53,6.83,1.02,1.74,0.86,0.00,0.00,Fresh
54,30.73,8.16,3.48,2.57,2.67,1.21,Fresh
55,31.87,7.14,3.48,2.57,2.67,1.21,Fresh
56,22.76,4.08,3.48,2.57,1.78,1.21,Fresh
57,92.19,29.60,8.69,5.99,8.00,3.62,Fresh
58,30.73,5.10,4.35,2.57,2.67,1.21,Fresh
59,28.46,7.14,2.61,1.71,1.78,1.21,Fresh
60,17.07,3.06,3.48,2.57,1.78,1.21,Fresh
61,38.70,8.16,5.21,3.43,2.67,1.21,Fresh
62,3.41,0.00,0.87,0.86,0.00,0.00,Fresh
63,13.66,4.08,1.74,0.86,0.89,0.00,Fresh
64,15.93,3.06,3.48,2.57,1.78,0.00,Fresh
65,28.46,4.08,3.48,2.57,0.89,1.21,Fresh
66,36.42,8.16,4.35,2.57,2.67,1.21,Fresh
67,20.49,5.10,2.61,1.71,1.78,1.21,Fresh
68,22.76,5.10,2.61,1.71,1.78,1.21,Fresh
69,15.93,3.06,2.61,1.71,0.89,0.00,Fresh
70,7.97,1.02,0.87,0.86,0.00,0.00,Fresh
71,18.21,7.14,2.61,1.71,2.67,1.21,Fresh
72,50.08,11.23,5.21,3.43,3.56,1.21,Fresh
73,7.97,2.04,1.74,0.86,0.89,0.00,Fresh
74,17.07,0.00,3.48,2.57,0.00,1.21,Fresh
