prepared_row_id,sample_id,610_nm,680_nm,730_nm,760_nm,810_nm,860_nm,label,label_numeric,iqr_outlier_count,iqr_outlier,robust_z_outlier_count,robust_z_outlier,strong_outlier_candidate
1,1,26.18,5.1,5.21,3.43,2.67,1.21,Fresh,1,0,False,0,False,False
2,2,9.11,2.04,1.74,1.71,0.89,0.0,Fresh,1,0,False,0,False,False
3,4,29.59,5.1,6.08,3.43,2.67,1.21,Fresh,1,0,False,0,False,False
4,5,36.42,7.14,6.08,3.43,2.67,1.21,Fresh,1,0,False,0,False,False
5,6,2.28,2.04,0.87,0.0,0.89,0.0,Fresh,1,1,True,0,False,False
6,7,2.28,1.02,0.87,0.0,0.0,0.0,Fresh,1,1,True,0,False,False
7,8,35.28,8.16,4.35,2.57,2.67,1.21,Fresh,1,0,False,0,False,False
8,9,31.87,8.16,3.48,2.57,2.67,1.21,Fresh,1,0,False,0,False,False
9,11,40.98,10.21,5.21,3.43,3.56,1.21,Fresh,1,0,False,0,False,False
10,12,40.98,10.21,4.35,3.43,2.67,1.21,Fresh,1,0,False,0,False,False
11,13,31.87,6.12,3.48,2.57,2.67,1.21,Fresh,1,0,False,0,False,False
12,14,11.38,3.06,1.74,0.86,0.89,0.0,Fresh,1,0,False,0,False,False
13,15,4.55,0.0,0.87,0.86,0.0,0.0,Fresh,1,0,False,0,False,False
14,16,13.66,4.08,1.74,1.71,0.89,1.21,Fresh,1,0,False,0,False,False
15,17,29.59,8.16,3.48,2.57,1.78,1.21,Fresh,1,0,False,0,False,False
16,18,23.9,7.14,3.48,1.71,1.78,1.21,Fresh,1,0,False,0,False,False
17,19,28.46,10.21,3.48,2.57,2.67,1.21,Fresh,1,0,False,0,False,False
18,20,29.59,10.21,3.48,2.57,2.67,1.21,Fresh,1,0,False,0,False,False
19,21,4.55,1.02,0.87,0.86,0.0,0.0,Fresh,1,0,False,0,False,False
20,22,18.21,4.08,2.61,1.71,0.89,1.21,Fresh,1,0,False,0,False,False
21,23,37.56,9.19,4.35,2.57,2.67,1.21,Fresh,1,0,False,0,False,False
22,24,18.21,3.06,2.61,1.71,1.78,1.21,Fresh,1,0,False,0,False,False
23,25,19.35,3.06,2.61,1.71,1.78,1.21,Fresh,1,0,False,0,False,False
24,26,19.35,2.04,3.48,1.71,1.78,0.0,Fresh,1,0,False,0,False,False
25,27,20.49,2.04,4.35,2.57,0.89,0.0,Fresh,1,0,False,0,False,False
26,28,7.97,3.06,1.74,0.86,0.89,0.0,Fresh,1,0,False,0,False,False
27,29,13.66,2.04,2.61,1.71,0.89,0.0,Fresh,1,0,False,0,False,False
28,30,7.97,1.02,1.74,0.86,0.0,0.0,Fresh,1,0,False,0,False,False
29,32,3.41,1.02,0.87,0.86,0.0,0.0,Fresh,1,0,False,0,False,False
30,33,3.41,1.02,0.87,0.0,0.0,0.0,Fresh,1,1,True,0,False,False
31,34,14.8,1.02,1.74,0.86,0.0,0.0,Fresh,1,0,False,0,False,False
32,35,17.07,3.06,2.61,1.71,0.89,0.0,Fresh,1,0,False,0,False,False
33,36,27.32,5.1,3.48,2.57,1.78,1.21,Fresh,1,0,False,0,False,False
34,37,23.9,6.12,2.61,1.71,1.78,1.21,Fresh,1,0,False,0,False,False
35,38,21.63,8.16,2.61,1.71,1.78,1.21,Fresh,1,0,False,0,False,False
36,39,26.18,5.1,4.35,2.57,1.78,1.21,Fresh,1,0,False,0,False,False
37,40,14.8,3.06,3.48,1.71,0.89,1.21,Fresh,1,0,False,0,False,False
38,41,29.59,9.19,3.48,2.57,2.67,1.21,Fresh,1,0,False,0,False,False
39,42,26.18,8.16,3.48,2.57,1.78,1.21,Fresh,1,0,False,0,False,False
40,43,33.01,7.14,4.35,2.57,2.67,1.21,Fresh,1,0,False,0,False,False
41,44,56.91,12.25,5.21,3.43,3.56,1.21,Fresh,1,0,False,0,False,False
42,45,36.42,8.16,4.35,2.57,2.67,1.21,Fresh,1,0,False,0,False,False
43,46,35.28,10.21,3.48,2.57,2.67,1.21,Fresh,1,0,False,0,False,False
44,48,20.49,5.1,4.35,2.57,1.78,1.21,Fresh,1,0,False,0,False,False
45,49,33.01,8.16,3.48,2.57,2.67,1.21,Fresh,1,0,False,0,False,False
46,50,40.98,10.21,4.35,2.57,3.56,1.21,Fresh,1,0,False,0,False,False
47,51,12.52,2.04,2.61,1.71,0.89,0.0,Fresh,1,0,False,0,False,False
48,52,30.73,8.16,3.48,2.57,2.67,1.21,Fresh,1,0,False,0,False,False
49,53,6.83,1.02,1.74,0.86,0.0,0.0,Fresh,1,0,False,0,False,False
50,55,31.87,7.14,3.48,2.57,2.67,1.21,Fresh,1,0,False,0,False,False
51,56,22.76,4.08,3.48,2.57,1.78,1.21,Fresh,1,0,False,0,False,False
52,58,30.73,5.1,4.35,2.57,2.67,1.21,Fresh,1,0,False,0,False,False
53,59,28.46,7.14,2.61,1.71,1.78,1.21,Fresh,1,0,False,0,False,False
54,60,17.07,3.06,3.48,2.57,1.78,1.21,Fresh,1,0,False,0,False,False
55,61,38.7,8.16,5.21,3.43,2.67,1.21,Fresh,1,0,False,0,False,False
56,62,3.41,0.0,0.87,0.86,0.0,0.0,Fresh,1,0,False,0,False,False
57,63,13.66,4.08,1.74,0.86,0.89,0.0,Fresh,1,0,False,0,False,False
58,64,15.93,3.06,3.48,2.57,1.78,0.0,Fresh,1,0,False,0,False,False
59,65,28.46,4.08,3.48,2.57,0.89,1.21,Fresh,1,0,False,0,False,False
60,67,20.49,5.1,2.61,1.71,1.78,1.21,Fresh,1,0,False,0,False,False
61,68,22.76,5.1,2.61,1.71,1.78,1.21,Fresh,1,0,False,0,False,False
62,69,15.93,3.06,2.61,1.71,0.89,0.0,Fresh,1,0,False,0,False,False
63,70,7.97,1.02,0.87,0.86,0.0,0.0,Fresh,1,0,False,0,False,False
64,71,18.21,7.14,2.61,1.71,2.67,1.21,Fresh,1,0,False,0,False,False
65,72,50.08,11.23,5.21,3.43,3.56,1.21,Fresh,1,0,False,0,False,False
66,73,7.97,2.04,1.74,0.86,0.89,0.0,Fresh,1,0,False,0,False,False
67,74,17.07,0.0,3.48,2.57,0.0,1.21,Fresh,1,0,False,0,False,False
