sample_id,610_nm,680_nm,730_nm,760_nm,810_nm,860_nm,label
1,9.11,6.12,6.95,7.71,8.00,8.44,Spoiled
2,23.90,15.31,15.64,17.13,16.01,18.09,Spoiled
3,18.21,10.21,13.04,14.56,13.34,14.47,Spoiled
4,14.80,9.19,8.69,9.42,9.78,10.85,Spoiled
5,12.52,8.16,7.82,7.71,8.00,9.65,Spoiled
6,20.49,17.35,16.51,17.98,16.90,20.50,Spoiled
7,15.93,12.25,12.17,13.70,13.34,16.88,Spoiled
8,26.18,22.45,22.59,24.83,22.23,26.53,Spoiled
9,25.04,17.35,14.77,16.27,15.12,18.09,Spoiled
10,52.36,45.93,40.84,45.39,40.91,47.03,Spoiled
11,67.15,44.91,46.93,50.53,44.47,50.65,Spoiled
12,46.67,29.60,34.76,36.82,32.91,36.18,Spoiled
13,38.70,36.74,35.63,40.25,35.57,43.42,Spoiled
14,47.80,32.66,37.37,40.25,37.35,42.21,Spoiled
15,56.91,50.01,40.84,45.39,40.02,47.03,Spoiled
16,3.41,2.04,2.61,2.57,2.67,3.62,Spoiled
17,2.28,1.02,2.61,2.57,1.78,2.41,Spoiled
18,3.41,2.04,3.48,3.43,2.67,2.41,Spoiled
19,3.41,3.06,2.61,3.43,2.67,3.62,Spoiled
20,2.28,2.04,1.74,1.71,2.67,2.41,Spoiled
21,2.28,2.04,0.87,0.86,1.78,2.41,Spoiled
